Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
Maternal and Child Health,Southern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Agency for International Development, Gifts and Donations",Obligations,2015,250000
99 SO3: INCREASED REGL COOPERATION IN THE MANAGEMENT OF SHAR,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,Economic Support Fund,Disbursements,2004,250000
99 SO3: INCREASED REGL COOPERATION IN THE MANAGEMENT OF SHAR,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,Economic Support Fund,Obligations,2003,250000
Clean Productive Environment,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2015,250000
Improved Electoral Comp. in SA,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2006,250000
Improved Electoral Comp. in SA,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2007,250000
Clean Productive Environment,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2017,250000
Water Supply and Sanitation,Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2017,250000
99 SO3: INCREASED REGL COOPERATION IN THE MANAGEMENT OF SHAR,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2002,250000
Southern Africa Trade Hub,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2016,250000
Southern Africa Trade Hub,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2015,250000
Improved Electoral Comp. in SA,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2005,250000
AG: The Agricultural Sector's Contribution to Economic Grow - Title II Farmer-to-Farmer,Southern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Commodity Credit Corporation Fund,Obligations,2004,250000
National Endowment for Democracy Grant to Solidarity Center,Southern Africa Region,Department of State,Other Social Infrastructure and Services,"Department of State, National Endowment for Democracy",Disbursements,2008,250000
Fiscal policy,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Disbursements,2017,250000
National Endowment for Democracy Grant to Solidarity Center,Southern Africa Region,Department of State,Other Social Infrastructure and Services,"Department of State, National Endowment for Democracy",Obligations,2008,250000
RECONSTRUCTION /Refugee Education ProgramAIR MINORITY HOUSING,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,250000
NEW APPROACH,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,250000
National Endowment for Democracy Grant to International Republican Institute (IRI),Europe Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Obligations,2013,250000
EUR/PROCESSING,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,250000
National Endowment for Democracy Grant to International Republican Institute (IRI),Europe Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Disbursements,2013,250000
INTEGRATED MINORITY RETURN PROGRAM,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2003,250000
Anti-Trafficking in Persons Project [through Johns Hopkins University],Middle East Region,Department of State,Government and Civil Society,Economic Support Fund,Disbursements,2006,250000
Anti-Trafficking in Persons Project [through Johns Hopkins University],Middle East Region,Department of State,Government and Civil Society,Economic Support Fund,Obligations,2006,250000
National Endowment for Democracy Grant to National Democratic Institute for International Affairs (NDI),Eastern Africa Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Disbursements,2015,250000
SERVIR - RCMRD PIO Grant,Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2016,250000
Somalia Good Governance Program,Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2008,250000
Africa Leadership Training and Capacity Building Program (Africa Lead),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,250000
East Africa Trade and Investment Hub,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2015,250000
Agricultural Sector Productivity,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2013,250000
National Endowment for Democracy Grant to National Democratic Institute for International Affairs (NDI),Eastern Africa Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Obligations,2015,250000
Somalia Good Governance Program,Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2007,250000
OFDA/Prevention- Mitigation- Preparedness + Planning,Eastern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2003,250000
Conflict Mitigation and Reconciliation Programs and Activities,Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2009,250000
State East Asia and Pacific - Unspecified Activity,East Asia and Oceania Region,Department of State,Other Multisector,Economic Support Fund,Obligations,2014,250000
SO2: PROMOTE ABILITIY OF AFRICANS TO SUSTAIN FOOD SECURITY W,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Disbursements,2003,250000
Knowledge for Health II (K4H-II),Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2017,250000
Cross-Border Health Integrated Partnership Project (CB-HIPP),Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2017,250000
Clean Productive Environment,Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2013,250000
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2010,250000
I-HESN Duke University,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,250000
Natural Resources and Biodiversity,Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2013,250000
Agricultural Enabling Environment,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,250000
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2012,250000
Knowledge for Health II (K4H-II),Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2016,250000
Trade and Investment Enabling Environment,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2014,250000
Great Apes Conservation,West Africa Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Multinational Species Conservation Fund",Obligations,2010,250000
West Africa Trade Hub II,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2010,250000
Grant to UN Food and Agriculture Organization (FAO) for agriculture activities worldwide.,West Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Disbursements,2011,250000
Grant to UN Food and Agriculture Organization (FAO) for agriculture activities worldwide.,West Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Obligations,2011,250000
Agricultural Enabling Environment,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,250000
Great Apes Conservation,West Africa Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Multinational Species Conservation Fund",Disbursements,2010,250000
Inter-Agency Agreement with U.S. Department of Agriculture for analytical support services and evaluations,West Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Assistance",Obligations,2017,250000
Migratory Stopover Habitat Protection at 2 Keystone Sites,Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Obligations,2004,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2004,250000
Migratory Stopover Habitat Protection at 2 Keystone Sites,Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Disbursements,2004,250000
OFDA-2014-UNWFP,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2014,250000
Inclusive Financial Markets,West Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Assistance",Obligations,2017,250000
Trade and Investment Enabling Environment,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2015,250000
Trade and Investment Capacity,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2014,250000
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Obligations,2004,250000
USAID |DELIVER,West Africa Region,U.S. Agency for International Development,Basic Health,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2007,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2002,250000
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Obligations,2005,250000
Agricultural Enabling Environment,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2011,250000
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Obligations,2006,250000
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Disbursements,2006,250000
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Obligations,2003,250000
Agricultural Enabling Environment,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,250000
Agricultural Sector Productivity,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2011,250000
Moderate Voices Cooperative Agreement,West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Obligations,2017,250000
Small Project Assistance Program - SPA III,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2011,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2003,250000
Small Project Assistance (SPA) Program with Peace Corps,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2012,250000
USAID |DELIVER,West Africa Region,U.S. Agency for International Development,Basic Health,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2006,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Development Assistance",Obligations,2001,250000
Elections and Political Processes,West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Obligations,2010,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2003,250000
De-Legitimize Terrorist Ideology,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security",Economic Support Fund,Obligations,2008,250000
Modern Energy Services,West Africa Region,U.S. Agency for International Development,Energy,Economic Support Fund,Obligations,2017,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2001,250000
Health Communication Capacity Collaborative (HC3),West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2014,250000
Regional Economic Integration,West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2001,250000
Agricultural Sector Productivity,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2010,250000
Agricultural Enabling Environment,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2010,250000
CGIAR Fund grant with the World Bank.,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,250000
Agricultural Enabling Environment,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2012,250000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Development Assistance",Disbursements,2001,250000
Clean Productive Environment,Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2014,249963
Southern Africa Regional Rule of Law and Human Rights Program,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2013,249882
Post-election Support Program,West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Disbursements,2015,249770
Administration and Oversight,Europe Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Obligations,2009,249636
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2015,249635
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2008,249609
Gambia-Senegal Community-Based Sustainable Fisheries Program,West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2012,249516
HIV/AIDS,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2010,249484
Operating Expenses - USAID,Europe Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2001,249477
Regional Conflict Prevention,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2003,249450
Social Services,Southern Africa Region,U.S. Agency for International Development,Other Social Infrastructure and Services,"Agency for International Development, Development Assistance",Disbursements,2012,249254
Social Services,West Africa Region,U.S. Agency for International Development,Other Social Infrastructure and Services,Economic Support Fund,Obligations,2009,249100
USAID/Liberia Program Design and Learning - Food Security Strategy,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2010,249014
USAID/Liberia Program Design and Learning - Food Security Strategy,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2011,249014
Communications Services,Eastern Africa Region,U.S. Agency for International Development,Communications,"Agency for International Development, Development Assistance",Obligations,2009,249000
Inland Freight for Bill Emerson Humanitarian Trust Food Aid,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2003,249000
Inland Freight for Bill Emerson Humanitarian Trust Food Aid,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2003,249000
Cooperation with scientists on the safe handling and use nuclear materials for civilian projects.,Middle East Region,Department of Energy,Energy,"Department of Energy, Defense Nuclear Nonproliferation",Obligations,2008,249000
"Department of Energy, Office of Global Security Engagement and Cooperation (NA-242)",Middle East Region,Department of Energy,Energy,"Department of Energy, Defense Nuclear Nonproliferation",Obligations,2008,249000
Famine Early Warning Systems Network (FEWS NET),Southern Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Obligations,2009,248656
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, International Disaster Assistance",Obligations,2010,248487
Natural Resources and Biodiversity,Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2010,248434
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2014,248416
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2007,248353
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2015,248297
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2017,248199
Counterterrorism Finance,Western Hemisphere Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2013,248189
Competitiveness and Trade Expansion Program (COMPETE),Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2015,248145
Competitiveness and Trade Expansion Program (COMPETE),Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2014,248145
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2012,248138
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Obligations,2004,248127
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2008,248120
Natural Resources and Biodiversity,Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2008,248044
"The Technical Assistance Project, Phase 2: Avian International Monitoring Network (Research and Monitoring)",Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Obligations,2004,247690
"The Technical Assistance Project, Phase 2: Avian International Monitoring Network (Research and Monitoring)",Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Disbursements,2004,247690
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, International Disaster Assistance",Obligations,2009,247675
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, International Disaster Assistance",Disbursements,2009,247675
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2010,247569
Global Environmental Management Support II (GEMS II),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,247424
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, International Disaster Assistance",Disbursements,2010,247384
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2011,247219
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2015,247164
Health Communication Capacity Collaborative (HC3),West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,247063
Trade and Investment Enabling Environment,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Credit Authority",Obligations,2014,247040
Economic Growth Project (PCE),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2017,246971
Family Planning and Reproductive Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2011,246948
Modern Energy Services,Eastern Africa Region,U.S. Agency for International Development,Energy,"Agency for International Development, Development Assistance",Obligations,2012,246869
Operating Expenses - USAID,Europe Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,246568
Final Evaluation Peace in East and Central Africa (PEACE II) Program,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2012,246000
Inland Freight Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2006,246000
Inland Freight Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2006,246000
Water Supply and Sanitation,Middle East Region,U.S. Agency for International Development,Water Supply and Sanitation,Economic Support Fund,Disbursements,2014,245944
Resilience and Economic Growth in the Sahel - Accelerated Growth (REGIS-AG),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2017,245706
Trade and Investment Capacity,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2010,245578
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2012,245471
Regional Economic Integration,West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2003,245432
Administrative costs,Europe Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2003,245403
Peace III,Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security",Economic Support Fund,Disbursements,2016,245385
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,245234
HIV/AIDS,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global HIV/AIDs Initiative",Disbursements,2008,244909
Elections and Political Processes,West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Disbursements,2010,244199
"FY 2012 Assistance for Europe, Eurasia and Central Asia",Europe Region,Department of Commerce,Trade Policy and Regulations,Economic Support Fund,Disbursements,2016,243813
Maternal and Child Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2009,243542
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, International Disaster Assistance",Obligations,2008,243527
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, International Disaster Assistance",Disbursements,2008,243527
Counterterrorism Finance,Eastern Africa Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2015,243520
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2005,243000
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2005,243000
Administration and Oversight,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,242722
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2013,242656
OFDA-2014-UNWFP,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2015,242639
Southern Africa Regional Rule of Law and Human Rights Program,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2016,242509
A more competitive southern african economy,Southern Africa Region,U.S. Agency for International Development,Business and Other Services,"Agency for International Development, Development Assistance",Disbursements,2005,242416
Nutrition,Eastern Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Disbursements,2012,242234
REG.REPROD.HEALTH STI/HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Development Assistance",Obligations,2001,242101
Science and technology developed to improve agricultural pro - Title II Farmer-to-Farmer,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Commodity Credit Corporation Fund,Disbursements,2004,242089
Peace and Reconciliation Processes,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2012,242048
Clean Productive Environment,West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2017,242026
Crisis Assistance and Recovery,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2015,241830
"ITSH Freight Cost of USAID Title II Emergency Program for Protection, Assistance and Solutions",West Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2016,241700
"ITSH Freight Cost of USAID Title II Emergency Program for Protection, Assistance and Solutions",West Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2016,241700
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2015,241539
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2011,241523
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Obligations,2005,241450
Trade and Investment Capacity,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2015,241340
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2011,241000
Trade and Investment Enabling Environment,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2014,240929
PASA with USDA/FAS for Presidential Initiative to End Hunger in Africa (IEHA),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2012,240800
PASA with USDA/FAS for Presidential Initiative to End Hunger in Africa (IEHA),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2013,240800
Administration and Oversight (Infrastructure),Eastern Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Obligations,2010,240491
Refugee Assistance Activities,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,240272
Refugee Assistance Activities,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2001,240272
Global Health Support Initiative II (GHSI II),Eastern Africa Region,U.S. Agency for International Development,"Health, General","Department of State, Global Health Programs",Obligations,2012,240000
Global Health Support Initiative II (GHSI II),Eastern Africa Region,U.S. Agency for International Development,"Health, General","Department of State, Global Health Programs",Disbursements,2013,240000
Leadership Public Financial Mngmt II (LPFM II),West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Obligations,2016,240000
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Development Assistance",Obligations,2009,240000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2005,240000
Fistula Care Project,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2011,240000
